category,price_dh,city,district,surface_m2,rooms,bathrooms,floor,property_age_years,price_per_m2
Villa_Riad,6900000.0,Temara,Harhoura,501,5.0,5.0,,,13772.45508982036
Villa_Riad,2100000.0,Had Soualem,Toute la ville,200,3.0,3.0,,,10500.0
Villa_Riad,2890000.0,Casablanca,Aïn Borja,289,4.0,2.0,,,10000.0
Villa_Riad,2300000.0,Marrakech,Route de Fès,230,6.0,7.0,,,10000.0
Villa_Riad,8100000.0,Rabat,Hay Riad,350,4.0,3.0,,,23142.85714285714
Villa_Riad,2500000.0,Casablanca,Route d'El Jadida,260,6.0,3.0,,,9615.384615384615
Villa_Riad,3400000.0,Casablanca,Aïn Chock,183,4.0,2.0,,,18579.234972677597
Villa_Riad,2920000.0,Nouaceur,Toute la ville,722,3.0,1.0,,,4044.321329639889
Villa_Riad,4000000.0,Marrakech,Route de Casablanca,309,7.0,4.0,,,12944.983818770226
Villa_Riad,4900000.0,Casablanca,Sidi Maarouf,251,4.0,4.0,,,19521.91235059761
Villa_Riad,3000000.0,Marrakech,M'Hamid,300,7.0,3.0,,,10000.0
Villa_Riad,1734000.0,Marrakech,Guéliz,102,1.0,2.0,,,17000.0
Appartement,3900000.0,Kénitra,Maamora,121,3.0,1.0,,,32231.404958677685
Appartement,22300000.0,Marrakech,Autre secteur,84,2.0,2.0,,,265476.1904761905
Appartement,23500000.0,Tanger,Malabata,120,3.0,2.0,,,195833.33333333334
Appartement,31800000.0,Marrakech,Guéliz,117,3.0,3.0,,,271794.8717948718
Appartement,210000.0,Rabat,Agdal,65,1.0,1.0,,,3230.769230769231
Appartement,1400000.0,Agadir,Haut-Founty,97,3.0,2.0,,,14432.98969072165
Appartement,9600000.0,Casablanca,Beauséjour,46,,1.0,,,208695.65217391305
Appartement,5770000.0,Casablanca,Casablanca Finance City,50,1.0,1.0,,,115400.0
Appartement,1600000.0,Mohammedia,Nassim,70,2.0,1.0,,,22857.14285714286
Appartement,1698500.0,Marrakech,Route d'Amezmiz,39,1.0,1.0,,,43551.282051282054
Villa_Riad,3699000.0,Marrakech,Route de Tahanaoute,246,3.0,4.0,,,15036.58536585366
Villa_Riad,8600000.0,Marrakech,Agdal,560,5.0,4.0,,,15357.142857142857
Villa_Riad,4500000.0,Marrakech,Mabrouka,270,4.0,4.0,,,16666.666666666668
Villa_Riad,3500000.0,Marrakech,Route d'Amezmiz,260,4.0,3.0,,,13461.538461538463
Villa_Riad,7900000.0,Rabat,Hay Nahda,244,3.0,4.0,,,32377.049180327867
Villa_Riad,5500000.0,Casablanca,Sidi Maarouf,350,7.0,3.0,,,15714.285714285714
Villa_Riad,4600000.0,Dar Bouazza,Toute la ville,305,3.0,4.0,,,15081.967213114754
Appartement,2520000.0,Fès,Tghat,100,3.0,2.0,,,25200.0
Appartement,11267000.0,Marrakech,Guéliz,51,1.0,1.0,,,220921.568627451
Appartement,4295000.0,Tanger,Al Irfane 2,47,2.0,1.0,,,91382.97872340426
Appartement,21700000.0,Marrakech,Guéliz,94,2.0,2.0,,,230851.06382978722
Appartement,213000.0,Marrakech,Guéliz,120,3.0,2.0,,,1775.0
Appartement,11250000.0,Casablanca,Palmier,53,1.0,1.0,,,212264.15094339623
Appartement,32255000.0,Casablanca,Californie,143,3.0,2.0,,,225559.44055944055
Appartement,312500.0,Casablanca,Aïn Chock,99,2.0,2.0,,,3156.5656565656564
Villa_Riad,5400000.0,Dar Bouazza,Toute la ville,490,4.0,3.0,,,11020.408163265305
